prices,available,address
€800 monthly,"Available Now - Single bedroom available immediately in a cosy house in chapelizod. Close to the bus stop,centra, various pubs and cafes. 15 mins away from city centre by bus. 20 mins away from lucan by bus. Located close to phoenix par...","The Moorings, Dublin 20, Dublin 20"
€135 weekly,"Available 8th September - *****available sunday evening to friday afternoons only****

dublin host families are proud to offer a large single bedroom in this brand new showhouse condition home located only 7 kilometres from dublin city centre. ...","Heathfield Park, Cappagh Road, Finglas, Dublin 11"
€650 monthly,Available Now - In quiet cul de sac 3 bed with large gardens close to public transport beside coast,"Portrane, Co. Dublin, Portrane, Co. Dublin"
€700 monthly,"Available 1st September - 1 room available in a shared house. 1 single room: 700ÃÂ€ per month. Electric and gas to be shared equally by occupants. Energy efficient apartment (b3 ber rating. )

location: woodbrook square, porterstown, dublin...","Woodbrook Square, Dublin 15, Carpenterstown, Dublin 15"
€750 monthly,"Available Now - Lovely three bedroom house , located in ridgewood close , the development is located on the forest road between swords village and forest little golf club and is in close proximity to the m1/m50 motorways and dublin airp...","Ridgewood Close, Swords, Co. Dublin"
€850 monthly,"Available 1st November - Owner-occupier is seeking neat, clean person for house share. Single room available to rent. L from november. Person working out-of-home preferred. Bright spacious home located in a quiet residential area just behind the...","10 Church Place East Wall, East Wall, Dublin 3"
€130 weekly,"Available Now - ***available sunday evening to friday afternoons only***

dublin host families are proud to offer a single bedroom in this fabulous semi detached property located only 14 kilometres from dublin city centre. Ideally locat...","Hillcrest Park, Lucan, Co. Dublin"
€700 monthly,"Available Now - Available immediately 

single room - 700

property features - 
- plenty of living space with living room and dining area separate to the kitchen
- spacious rear garden
- 5 min walk to major dublin bus route (including a...","Moatfield Avenue, Dublin 5, Dublin 5"
€800 monthly,"Available Now - House is situated in a quiet, estate with off street parking, the bus stop is across the road, and is within 10mins walk to balally luas, dundrum shopping centre, marley park, also 1mile off m50. Location amenities inclu...","Hilton Gardens, Ballinteer, Dublin 16"
€700 monthly,"Available Now - Hi  
i have a single bedroom to let in dublin 10. It is a very clean and cosy place to live 
ideally suited to people busy  9am to 5pm,
five days per week who need to chill after a hard days work. All amenities plus bus ...","285 Ballyfermot Road, Ballyfermot, Dublin 10"
€850 monthly,"Available Now - Located very close to itb college and shopping centre. Very clean double size room with single bed. Own bathroom. €850 per month bills included. Central heating
electricity
wifi included. Only owner occupied.","23 Warrenstown Drive, Blanchardstown, Dublin 15"
€900 monthly,"Available Now - Long term accommodation available immediately in a spacious ensuite (with a separate bathroom) in citywest, dublin 

it's a newly built house, situated in a peaceful & calm neighborhood. Everything is nearby & within 5 m...","Cuil Duin Estate,citywest,co. Dublin, Citywest, Co. Dublin"
€900 monthly,"Available 31st August - Viewings will commence from the 20/8th

house is owner-occupied, with currently one other existing tenant in a 3-bedroom house 
so one room to let see dimensions below. Not suitable to work from home 
 
the room is appro...","Cork Street, Dublin 8"
€750 monthly,"Available Now - Female only

super fast wifi

available 

ÃÂ¢ÃÂÃÂ¬750 + bills ÃÂ¢ÃÂÃÂ¬50 every month, which including gas, electric, bins, wi-fi. Excellent location for a new arrival in the city, easy access for working in south...","Percy French Road, Walkinstown, Dublin 12"
€500 monthly,"Available Now - To let two rooms in modern house in whitehall. Ample parking,  bus stop 20meters from back. Email only","Seven Oaks, Whitehall, Dublin 9"
€200 weekly,"Available Now - Dublin host families are proud to offer a single bedroom in this fabulous located only 3 kilometres from dublin city centre. Ideally situated close to james hospital, and only a short stroll to luas red line james hospit...","South Circular Road, Rialto, Dublin 8"
€700 monthly,"Available Now - ********************email inquiries only********************

reliance property consultants offer this well presentable house share in this convenient location of drumcondra, dublin 9. The property is close to all the ...","Millmount Terrace, Drumcondra, Dublin 9"
€200 weekly,"Available Now - 1 single room available to rent in a very comfortable, quiet, large house. Bills for bins, gas, electricity, wifi, are included in the rental price. You have the freedom to use the kitchen anytime of the day. 2 people ar...","Windermere, Clonsilla, Dublin 15"
"€1,000 monthly",Available Now - 2 men living currently in this apartment lots of living space. Nice full equipped kitchen. 5 min. Walk to city center. Please message with a little bit about yourself.,"19 Lower Dorset St, Dublin 1"
€500 monthly,"Available Now - Single room:  500 + bills split equally. Double bedroom:  700+ bills split equally
deposit required
5 min walk to pavilion shopping canter/ swords + excellent access to airport/ dublin city centre via various bus stops. ...","Ashley Avenue, Swords, Co. Dublin"
